Sentence|Translation
Donc on est arrivé, il y avait Lucie qui nous attendait et en fait elle m'a dit de me mettre derrière un écran et Julie est partie en date avec un mec.|So we got here, there was Lucie waiting for us and she actually told me to put me behind a screen and Julie left with a guy.
J'espère que Lucie va pas faire ça à moi parce que sinon je vais péter un plomb.|I hope Lucie won't do this to me because otherwise I'm going to blow a lead.
Exercice ou pas exercice.|Exercise or not.
Moi je sais pas faire semblant, je sais pas me retenir, je suis désolée.|I can't pretend, I can't hold back, I'm sorry.
J'étais même pas partie qu'il avait déjà le seum.|I didn't even leave that he already had the soum.
Donc moi j'ai laissé l'exercice se faire jusqu'au bout parce que je voulais voir en fait jusqu'à où elle pouvait aller dans la séduction et surtout voir ce que je pouvais en fait je voulais juste avoir l'exercice du début jusqu'à la fin.|So I let the exercise go to the end because I wanted to see actually how far she could go in seduction and especially see what I could actually get I just wanted to have the exercise from start to finish.
Si j'arrêtais le truc au bout de 30 secondes ça avait aucun intérêt en fait.|If I stopped the thing after 30 seconds it had no interest in fact.
Mais il avait envie d'arrêter.|But he wanted to stop.
Ouais c'est clair.|Yeah, that's clear.
Et surtout quand il a commencé à lui toucher la main et tout genre c'était dur.|And especially when he started touching his hand and all of it was hard.
Bref après on s'est installé avec Lucie.|Anyway, we moved in with Lucie.
Et donc, en fait, à ce moment-là, j'ai totalement craqué.|And so, actually, at that time, I totally cracked.
Il a pleuré, ma vie.|He cried, my life.
Je suis effondré en larmes, encore.|I'm falling apart in tears again.
J'ai que de pleurer dans cette aventure.|All I have to do is cry in this adventure.
Tu fais que chialer, toi.|You're just crying.
Mais ça m'a tellement fait mal.|But it hurt me so much.
Tu fais que chialer.|You're just crying.
Non, mais ça m'a fait...|No, but it made me...
Alors, ça m'a fait chialer de le voir pleurer.|So it made me cry to see him cry.
En même temps, ça m'a fait plaisir dans le sens où je me suis...|At the same time, it made me happy in the sense that I...
Moi, qui n'étais pas sûre de ses sentiments envers moi, ben là, je me suis rendu compte, en fait, qu'il était...|I, who wasn't sure how he felt about me, realized, in fact, that he was...
Que lui aussi m'aimait vraiment.|That he really loved me, too.
Là, elle a vu que j'avais des vrais sentiments pour elle et que c'était pas du fake.|There, she saw that I had real feelings for her and that it wasn't fake.
Je me suis rendu compte que je suis vraiment amoureuse de lui et que je l'aime vraiment.|I realized I'm really in love with him and I really love him.
C'est trop mignon.|That's so cute.
Ils sont tous très heureux pour nous.|They're all very happy for us.
Il y a que de l'amour qui nous entoure à ce moment-là.|There's only love around us at that time.
Donc on se dit qu'on n'a pas fait le mauvais choix, que si tout le monde le voit et si tout le monde réagit comme ça, c'est bien pour une raison, c'est parce que Julie et moi, on s'aime et que tout le monde le sait.|So we're thinking that we didn't make the wrong choice, that if everyone sees it and everybody reacts like that, that's good for a reason, that's because Julie and I love each other and everyone knows it.
C'était un exercice difficile, mais en tout cas, c'était salvateur.|It was a difficult exercise, but in any case, it was lifesaving.
Ça nous a rapproché encore plus et on se rend compte qu'on veut vraiment être ensemble.|It brought us even closer together and we realize we really want to be together.
Julie et Antoine, moi, je les trouve vraiment mignons.|Julie and Antoine, I think they're really cute.
Ils s'aiment d'un amour, je pense, très, très fort.|They love each other with a love, I think, very, very strong.
Lui, il a des yeux que pour elle, il a des yeux que pour lui.|He has eyes that for her, he only has eyes for him.
Ça donne envie, en fait, de rencontrer quelqu'un.|It actually makes you want to meet someone.
Par contre, ce garçon, moi, je vais le proposer en date pour Manon.|On the other hand, this boy, I'm going to propose it for Manon.
Donc voilà, si tu veux, tu peux partir en date avec lui.|So here you go, if you want, you can go with him.
Pas maintenant, tranquille.|Not now, quiet.
Je pense qu'il y a quelque chose qui pourrait se faire.|I think there's something that could be done.
Et si ça peut essayer de réveiller la loup au passage, c'est un petit deux en un.|And if it can try to wake the wolf by the way, it's a little two in one.
Donc, cadeau.|So, gift.
Ça te fera pas de mal, au moins t'oublieras la loup.|It won't hurt you, at least you'll forget the wolf.
Je pense qu'elle a déjà oublié.|I think she's already forgotten.
Je parle même pas.|I don't even talk.
Tu seras sur la voie de la réconciliation avec toi-même.|You will be on the path of reconciliation with yourself.
J'ai pas compris.|I don't understand.
En gros, ça te permettra d'avancer.|Basically, it will allow you to move forward.
Lâche cette banane.|Drop that banana.
Lâche cette banane.|Drop that banana.
Non.|No.
Tu vois bien, on se parle même pas.|You see, we don't even talk.
Ouais, elle s'en fout.|Yeah, she doesn't care.
Garde-à-vous.|Attention.
On se redresse.|We're straightening up.
Je le savais.|I knew it.
Je les ai prévenus.|I warned them.
Cachez-vous tous les deux.|Hide, both of you.
Il y a des bracelets.|There are bracelets.
Il y a des bracelets.|There are bracelets.
Il y a des bracelets.|There are bracelets.
J'ai donc des bracelets à vous remettre.|So I have bracelets to give you.
En tout cas, à certains et certaines d'entre vous.|In any case, to some of you.
Alors clairement, je vous enlève tout suspense.|So clearly, I take away all suspense.
Il n'y aura aucun bracelet noir.|There will be no black bracelet.
C'est le premier.|That's the first one.
Qui pense mériter un bracelet ?|Who thinks they deserve a bracelet?
Julie, elle en mérite un.|Julie, she deserves one.
Je vais en effet remettre un bracelet or à toi, Julie.|I'm going to give you a gold bracelet, Julie.
Je l'attendais, celui-là.|I've been waiting for this one.
Et bim !|And bim!
J'ai eu mon bracelet.|I got my bracelet.
Je suis trop contente.|I'm so happy.
Ce bracelet, c'est le Graal et je suis tellement heureuse et je pense que pour le coup, oui, je l'ai mérité.|This bracelet is the Grail and I'm so happy and I think for the moment, yes, I've earned it.
J'ai fait une avancée énorme dans cette aventure et je ne remercierai jamais à celle-ci.|I have made a huge advance in this adventure and I will never thank this one.
Ça t'a fait du bien ?|Did it feel good to you?
Ça m'a fait énormément du bien.|It did me a lot of good.
J'avais besoin de vider tout ce que j'avais à l'intérieur de moi pour repartir sur quelque chose de nouveau et j'ai compris que j'avais le droit d'être heureuse.|I needed to empty everything I had inside me to go back on something new and I realized that I had the right to be happy.
Il y a mille façons de se dire les choses, Antoine.|There's a thousand ways to say things to each other, Antoine.
Je pense que voir ta peine et ta peur, ça l'a presque plus touchée, ça lui a presque plus parlé que tes mots.|I think seeing your pain and your fear almost touched her more, it almost spoke to her more than your words.
Oui, c'est vrai.|Yeah, that's right.
C'était beau de vous voir tous les deux comme ça.|It was nice to see you both like that.
C'était très beau.|It was very beautiful.
Moi, je me suis rendu compte que je fais que le dire en ce moment.|I realized I'm just saying it right now.
Dis-le encore.|Say it again.
OK.|Okay.
Que je l'aime, que je suis vraiment amoureuse de lui et que je veux que ça soit lui dans ma vie.|That I love him, that I'm really in love with him and that I want it to be him in my life.
Moi aussi, je l'aime d'amour.|I love her too.
C'est un truc de fou.|It's a crazy thing.
Tu peux être que fier d'elle, fier de nous.|You can be only proud of her, proud of us.
C'est maintenant une évidence.|Now it's obvious.
Ça peut que marcher quand nous sommes.|It can only work when we are.
Théo, je te l'ai déjà dit, mais je le redis devant tout le monde, j'ai été bluffée par ta capacité d'honnêteté, par ta capacité à reconnaître tes torts.|Theo, I've already told you, but I say it again in front of everyone, I've been bluffed by your ability to be honest, by your ability to recognize your wrongs.
T'as relevé le défi haut la main.|You took up the challenge with your hands.
Et pour ça, j'ai envie que les autres s'inspirent et que tu leur rappelles le chemin à suivre grâce à ce bracelet.|And for that, I want others to be inspired and remind them of the way to follow thanks to this bracelet.
Tadam !|Tadam!
J'ai le bracelet.|I got the bracelet.
Je suis très content.|I'm very happy.
Franchement, je ne m'y attendais pas.|Frankly, I didn't expect it.
C'est vrai que j'ai fait un gros travail sur moi.|It's true I did a lot of work on myself.
Donc, ça me fait très plaisir de l'avoir.|So, I'm very happy to have it.
Ce bracelet, il est très symbolique dans cette vie-là.|This bracelet, it is very symbolic in this life.
Tu m'as fait une demande, Théo.|You asked me, Theo.
Tu m'as dit...|You told me...
J'ai eu un flash pour Cassandra.|I got a flash for Cassandra.
Elle me plaît.|I like her.
Et je souhaite, si c'est possible, qu'elle réintègre l'aventure en tant que mon packeur brisé.|And I wish, if possible, that she would re-enter the adventure as my broken packer.
Mes camarades, appelez-la comme vous voulez.|My comrades, call her whatever you want.
et j'ai le plaisir de t'annoncer qu'elle a dit oui et qu'elle va donc réintégrer l'aventure à vos côtés.|And I'm glad to tell you that she said yes, so she's going to be back on the adventure with you.
Ah, c'est beau, c'est beau.|Ah, it's beautiful, it's beautiful.
Je ne te dis pas quand, je te laisse dans le suspense.|I'm not telling you when, I'm leaving you in suspense.
Pas d'impatience.|No impatience.
Elle fait tout ce trajet pour revenir au Mexique, c'est vrai que c'est un long voyage.|She travels all this way back to Mexico, it's true that it's a long journey.
Je me dis qu'il y a quand même quelque chose, je pense que je le plais quand même et qu'elle a envie de se donner la peine de me découvrir, donc ça me fait plaisir.|I think there's something, I think I still like it and she wants to bother finding out, so I'm happy.
Et puis, je souhaite honorer une autre personne.|Besides, I wish to honor another person.
Si je pense par de loin, Lalou, c'est de toi dont je parle.|If I think from afar, Lalou, that's you I'm talking about.
Quand je suis entrée dans l'aventure, je me suis dit ça va pas le faire, ça va pas prendre.|When I got into the adventure, I thought it's not gonna do it, it's not gonna take it.
Mauvais feeling de ma part.|Bad feeling from me.
Il y a eu cette séquence d'hypnose avec Alex.|There was this hypnosis sequence with Alex.
Je pense que si à ce moment là, on m'avait interrogé, moi non plus, j'aurais pas eu les mots.|I think if I had been questioned at that time, neither would I have had the words.
Mais ce soir, je les ai.|But tonight I have them.
Bravo.|Well done.
Merci.|Thank you.
Ça me touche parce que je trouve que c'est vraiment grâce à elle, pour l'instant, que j'arrive à avancer dans ma problématique.|It touches me because I think it's really thanks to her, for now, that I can move on with my problem.
Lucie, vraiment, merci à toi.|Lucie, really, thank you.
Ma chère Manon, bienvenue.|My dear Manon, welcome.
Merci.|Thank you.
Est-ce que ta démarche de séduction est réelle ?|Is your seduction approach real?
Avec...|With...
Qu'il y avait avec Lalou ?|That there was with Lalou?
Par exemple.|For example.
Ou de manière générale, d'ailleurs.|Or in general, by the way.
Bien sûr.|Of course.
Après, on ne se connaissait encore pas assez.|After that, we didn't know each other enough.
Il s'est passé ce qui s'est passé.|What happened was what happened.
Il a rencontré Clarisse.|He met Clarisse.
Il est avec elle et puis c'est très bien pour lui.|He's with her and then it's very good for him.
Est-ce que je peux te dire que je n'y crois pas ?|Can I tell you I don't believe it?
C'est très bien pour lui ?|Is that very good for him?
En fait, c'est plus la fierté.|Actually, it's more pride.
C'est l'ego.|It's the ego.
Voilà.|There you go.
En fait, quand j'arrive dans l'aventure, Il se met sur moi.|Actually, when I get into the adventure, he gets on me.
Le soir, on rediscute tous les deux, en fait, pour que lui, il puisse avoir une discussion avec Larisse pour clarifier les choses.|In the evening, we both discuss it again, in fact, so that he can have a discussion with Larisse to clarify things.
Au final, j'apprends qu'elle dort là, dans la nuit.|In the end, I find out she's sleeping there at night.
Et en fait, il ne m'a rien dit.|And in fact, he didn't tell me.
C'est ça que je déteste.|That's what I hate.
Mensonge.|Lie.
Juste ça.|Just this.
C'est tout.|That's all.
Ça t'émeut.|You're excited.
Ça m'énerve.|It pisses me off.
Tu sais pourquoi ça m'énerve ?|You know why I'm upset about this?
On m'a maudie toute ma vie.|I've been cursed my whole life.
On m'a maudie toute ma vie.|I've been cursed my whole life.
Où est-ce qu'on prend cette émotion ?|Where do we get that emotion?
C'est même pas de la jalousie.|It's not even jealousy.
Je déteste le renseignement.|I hate intelligence.
C'est une déception.|It's a disappointment.
J'ai beaucoup souffert dans mon passé à cause de ça.|I've suffered a lot in my past because of that.
Et je me dis, comment, aujourd'hui, on peut encore me faire ça ?|And I'm thinking, how, today, can anyone still do this to me?
Et surtout venant d'une personne qui n'est rien encore pour moi.|And especially from a person who's nothing to me yet.
Et c'est pas possible, en fait.|And it's not possible, actually.
Que tu connais une personne dont tu ne la connais pas.|That you know someone you don't know about.
Tu crois totalement ta situation et je m'en suis excusé.|You totally believe your situation and I apologized.
Pourquoi ce mensonge par omission ?|Why this lie by omission?
Parce qu'on va relativiser, c'est un mensonge par omission.|Because we're going to relativize, it's a lie by omission.
Je n'ai pas réussi à lui dire en face.|I couldn't tell him in front of me.
Je m'en suis excusé et je m'en re-excuse auprès d'elle.|I apologized and apologized to her.
Je ne suis pas comme ça et je n'ai pas envie de...|I'm not like that and I don't want to...
Je la vois pleurer, bien sûr que ça me peine.|I see her crying, of course I'm sorry.
A partir du moment où vous prenez une décision et que vous agissez ou que vous parlez, soyez droit avec vous-même.|From the moment you make a decision and act or speak, be right with yourself.
Et si vous êtes droit avec vous-même, la vérité n'est pas quelque chose de difficile à dire.|And if you are right with yourself, the truth is not something difficult to say.
Si tu es OK avec ce que tu as fait, en fait, Lalou, c'est ensuite le problème de Manon si elle n'est pas OK avec ce qui est OK pour toi.|If you're okay with what you did, actually, Lalou, then it's Manon's problem if she's not okay with what's okay with you.
Tu ne fais pas les choses contre elle, tu les fais pour toi.|You don't do things against her, you do them for yourself.
Alors, ma chère Manon, est-ce que tu peux me donner ta problématique et le nombre de jours Depuis lesquels tu es célibataire ?|So, my dear Manon, can you give me your problem and how many days you've been single?
Alors, ça fait 480 jours que je suis seule.|So, I've been alone for 480 days.
Et en fait, j'ai l'amour qui est très destructeur.|And actually, I have love that's very destructive.
Pourquoi ?|Why?
Prends tout ton temps.|Take all your time.
J'en ai pas très faim.|I'm not very hungry.
Non.|No.
Pour ce soir, ça va me suffire, en effet.|For tonight, that'll be enough for me, indeed.
Je n'arrive pas à parler de ma problématique, surtout quand je vois tout le monde qui me regarde, et je sens que ça va être trop compliqué, donc je préfère ne pas en parler ce soir-là.|I can't talk about my problem, especially when I see everyone looking at me, and I feel it's going to be too complicated, so I prefer not to talk about it that night.
Je voudrais qu'on se parle à coeur ouvert de comment vous vous sentez tous et chacun ensemble, de ce qui va et de ce qui ne va pas, évidemment.|I would like us to talk to each other with an open heart about how you all feel together, what's going on and what's wrong, of course.
Toi, Léana, t'as eu le courage d'aller voir Sarah, qui avait décidé de quitter la villa, et de lui dire les choses.|You, Léana, had the courage to go to Sarah, who had decided to leave the villa, and tell her things.
Comment tu t'es sentie ?|How did you feel?
Ça m'a fait du bien.|It's been good for me.
Au moins, j'ai dit tout ce que j'avais sur le coeur.|At least I said everything I had on my heart.
Oui, je sais que c'est délicat.|Yeah, I know it's tricky.
Je sais que c'est délicat comme sujet.|I know it's a delicate subject.
Bon.|All right.
Même si elle veut pas me pardonner, c'est pas grave.|Even if she doesn't want to forgive me, it's okay.
Ah, c'est bon, les histoires de Calimero, je peux plus me les voir, en fait.|Oh, it's okay, Calimero's stories, I can't see them anymore, actually.
À ce moment-là, en fait, moi, je ressens rien.|At that point, actually, I don't feel anything.
Là, tout de suite, je suis vide.|Right now, I'm empty.
Sarah ?|Sarah?
Qu'est-ce qui se passe en toi ?|What's going on in you?
Non, c'est...|No, it's...
J'ai pas de ressenti spécial.|I don't feel special.
Je pense que j'ai assez pleuré, j'ai assez eu mal.|I think I've cried enough, I've had enough pain.
Voilà.|There you go.
Et pour une fois, tu vois, tu m'as dit de penser à moi, et là, je pense à moi, en fait.|And for once, you see, you told me to think about me, and now I'm thinking about me, actually.
C'est une excellente décision.|It's an excellent decision.
Voilà.|There you go.
Ça peut être dur pour Léana d'entendre ça, je le comprends, mais je vais pas retourner dans ses bras parce qu'elle a pleuré, ce serait trop facile.|It can be hard for Léana to hear that, I understand it, but I'm not going to go back to her arms because she cried, it would be too easy.
Arriver à un moment donné, je pense à moi, j'ai envie d'avancer, en fait.|At some point, I think of myself, I want to move on, actually.
Léana et Ken.|Léana and Ken.
Comment ça va ?|How are you?
Vous pouvez vous mettre l'un à côté de l'autre pour que je n'ai pas à faire un ping-pong ?|Can you stand next to each other so I don't have to make a ping-pong?
Je suis pas bien, je suis...|I'm not good, I'm...
Je suis dans une sensation, j'ai jamais ressenti cette sensation.|I'm in a feeling, I've never felt that feeling.
J'ai l'impression de me sentir coupable de quelque chose, alors que c'est pas vraiment très grave.|I feel like I feel guilty about something, but it's not really very serious.
Quand je vous ai demandé de vous mettre l'un à côté de l'autre, j'ai eu l'impression que ça vous saoulait.|When I asked you to sit next to each other, I felt like you were getting drunk.
Qu'est-ce qui se passe ?|What's going on?
En fait, la soirée...|In fact, the evening...
Au week-end, de toute façon, ça s'est très bien passé.|At the weekend, anyway, it went very well.
On a eu une attirance physique et tout.|We had a physical attraction and everything.
On rigolait bien et tout.|We were laughing well and everything.
Mais là, je sais pas, depuis un petit moment, je suis très distante avec lui.|But now, I don't know, for a while, I've been very distant from him.
J'ai plus envie de lui faire des bisous comme au début.|I don't want to kiss her like I did at first.
Et toi, Ken, t'en es où ?|Where are you, Ken?
Déjà, je suis très content quand elle me dit des choses.|Already, I'm very happy when she tells me things.
Alors, je te remercie de dire ça parce que j'allais le dire.|So, thank you for saying that because I was going to say it.
Léana, Ken vit avec toi dans la villa.|Léana, Ken lives with you in the villa.
Bien sûr.|Of course.
Pourquoi il faut que je vienne et que je te pose la question pour que d'un seul coup, t'aies l'illumination, pardon, de dire...|Why do I have to come and ask you the question so that at once you have enlightenment, forgiveness, to say...
alors qu'il te pose la question plusieurs fois à Ken.|While he asks you the question several times to Ken.
Jusqu'à maintenant, t'as fonctionné comme ça.|So far, you've worked like this.
Maintenant, je vais te demander de dire les choses.|Now I'm gonna ask you to say things.
Dis clairement à Ken ou vous en êtes tous les deux.|Tell Ken clearly where you two are.
Alors...|So...
Moi, je préfère m'arrêter.|I'd rather stop.
C'est pas contre toi.|It's not against you.
J'y arrive pas, en fait.|I can't, actually.
J'y arrive pas à aller plus loin, j'y arrive pas à imaginer.|I can't go any further, I can't imagine.
Ouais, mais c'est...|Yeah, but it's...
C'est bon, ça y est ?|It's okay, is it?
C'est bon.|It's okay.
Impeccable.|Impeccable.
On y est.|Here we go.
Bravo.|Well done.
Tu vois que c'est simple à faire.|You see, it's easy to do.
Je me demande à quel mec elle peut correspondre, parce que prendre un jouet, essayer de le jeter, un autre jouet, l'essayer de le jeter, moi, c'est pas ma mentalité.|I wonder which guy she can match, because taking a toy, trying to throw it away, another toy, trying to throw it away, I'm not my mindset.
Ce genre de filles-là, c'est next.|That kind of girl is next.
Je suis très mal à l'aise que ça arrive comme ça.|I'm very uncomfortable that it happens like this.
Vraiment, Léa.|Really, Léa.
Je pense que ça ne veut pas dire que tu es quelqu'un de méchant, mais ça veut dire que tu es quelqu'un de très maladroit et de peut-être, pardon, un peu lâche quand même.|I think it doesn't mean you're a bad guy, but it means you're a very clumsy person and maybe, sorry, a little loose anyway.
On te remercie infiniment, Ken.|Thank you so much, Ken.
Moi, je te présente mes excuses.|I apologize to you.
Ça me dégoûte.|It disgusts me.
Il mérite vraiment tellement pas ça, en fait, que...|He really doesn't deserve that, actually, that...
Déjà que j'avais le seum contre Léana, mais alors là...|I already had the soum against Léana, but then...
Elle me fait pitié, en fait.|I'm sorry, actually.
Moi, je tenais à vous remercier parce que je suis venu une fois, on m'a accueilli comme...|I wanted to thank you because I came once, and I was greeted as...
Comme un prince, comme un roi, comme ce que vous voulez.|Like a prince, like a king, like whatever you want.
Je trouve que vous êtes tous des personnes extraordinaires.|I think you're all extraordinary people.
Vous m'avez apporté beaucoup de choses.|You brought me a lot of things.
Et voilà, je vous remercie beaucoup, beaucoup.|And that's it, thank you very much, very much.
Vraiment.|Really.
C'est pas l'histoire avec Anna qui me fait du mal parce que j'ai très vite vu que je ne savais pas le faire avec elle.|It's not the story with Anna that hurts me because I saw very quickly that I didn't know how to do it with her.
C'est le fait de ne plus voir les personnes que je kiffe.|It's the fact that I don't see the people I love anymore.
Ce soir, j'ai demandé à une jeune femme que j'apprécie beaucoup, que je connais, de rejoindre l'aventure.|Tonight, I asked a young woman that I really appreciate, I know, joining the adventure.
En tant que cur brisé, nous allons accueillir Inès.|As a broken heart, we will welcome Inès.
J'ai fait la bataille des coupes avec elle.|I fought the cups with her.
Bonsoir, ma chère Inès.|Good evening, my dear Inès.
Sois la bienvenue en Stade Paris.|Welcome to Stade Paris.
Bonjour.|Hello.
Ça va ?|You okay?
Ça va bien ?|Are you all right?
Ça fait plaisir.|It's a pleasure.
Je sais que c'est une fille qui est très rigolote, qui est...|I know she's a very funny girl, who's...
C'est une bonne vivante.|She's a living maid.
C'est vraiment une personne bien et franchement, ça fait du bien d'avoir ce genre de personne dans une aventure.|He's a really good person and frankly, it feels good to have that kind of person in an adventure.
Donc je suis très content de l'avoir.|So I'm very happy to have it.
Alors est-ce que tu peux nous dire pourquoi tu souhaites rejoindre la ville à des coeurs brisés notamment en expliquant ta problématique j'arrive à un stade de ma vie où j'ai envie de me poser j'aimerais bien aussi et à chaque fois, en fait, ça marche pas.|So can you tell us why you want to join the city with broken hearts, especially by explaining your problem I'm coming to a stage in my life where I want to land I'd like to, too, and every time, actually, it doesn't work.
Je me remets en question.|I'm questioning myself again.
L'amour, pour moi, c'est devenu un rêve.|Love has become a dream for me.
J'ai l'impression que l'amour m'a oubliée.|I feel like love has forgotten me.
J'aimerais rencontrer à ma moitié quelqu'un qui me fasse kiffer.|I'd like to meet with my half someone who makes me kick.
J'ai envie d'avoir des pavillons dans le ventre.|I want to have pavilions in my stomach.
Je suis un petit cambrisé, on va dire.|I'm a little stuttered, let's say.
T'es célibataire depuis quand ?|How long have you been single?
Depuis 172 jours.|It's been 172 days.
Et 2 heures.|And two hours.
T'as compté le décalage horaire ?|Did you count the time difference?
J'ai tout compté.|I've counted everything.
Ca me touche que tu sois venue parce que tu me renouvelles ta confiance.|It touches me that you came because you're renewing your trust.
Tu sais que j'avais été très touchée par la personne que tu es, la femme adulte que tu es.|You know I've been very touched by the person you are, the adult woman you are.
Et vous verrez, Inès, c'est vraiment une belle personne.|And you'll see, Inès, she's really a beautiful person.
Je suis très heureuse de l'accueillir.|I'm very happy to welcome him.
Je sais que Lucie, elle est bienveillante.|I know Lucie, she's benevolent.
C'est une femme qui m'a beaucoup aidée par le passé.|She's a woman who's helped me a lot in the past.
Elle a vraiment eu ce feeling de femme à femme.|She really had this woman-to-woman feeling.
Moi, je l'adore, Lucie.|I love her, Lucie.
Je vous souhaite une excellente soirée.|I wish you a great evening.
Merci pour votre attention.|Thank you for your attention.
Ce bilan, encore une fois, a été épatant, comme vous l'êtes tous.|This record, again, has been amazing, as you all are.
Je vous aime fort et je vous dis à bientôt.|I love you very much and I'll tell you soon.
J'ai eu énormément d'émotions durant ce bilan.|I had a lot of emotions during this review.
Il y a tout qui m'a émue, de voir les personnes pleurer, tristes, contentes.|There's everything that moved me, to see people cry, sad, happy.
Tout ça, c'est fini et place un petit peu à la joie.|It's all over and it's a little bit of joy.
Merci pour votre accueil.|Thank you for your welcome.
Vous nous apportez des good vibes.|You bring us good vibes.
C'est le dernier câlin.|It's the last hug.
Fais attention à toi.|Take care of yourself.
Merci.|Thank you.
On se revoit les mecs.|I'll see you guys again.
Je me sens un peu triste.|I feel a little sad.
Ken, ça reste une super bonne personne.|Ken, she's still a great person.
Et il a été là pour moi quand ça allait pas avec Sarah.|And he was there for me when it wasn't okay with Sarah.
Ça, je l'oublierai pas.|I won't forget that.
Je m'étais un petit peu attachée à cette personne, mais...|I was a little attached to that person, but...
J'ai pas ce truc.|I don't have that thing.
Bravo, mon Ken, pour ton aventure.|Well done, Ken, for your adventure.
Merci beaucoup.|Thank you very much.
Je suis trop heureux de les avoir découverts.|I'm so glad I found them.
Je repars avec...|I'm going back with...
Je suis ému, mais je repars quand même avec le souhait.|I'm moved, but I'm still leaving with the wish.
Moi, je suis franchement...|I'm quite frankly...
Je sais, frère, j'ai pas envie de pleurer, mais...|I know, brother, I don't want to cry, but...
Arrête, frère, arrête.|Stop it, brother, stop it.
T'es condamné.|You're doomed.
T'es condamné.|You're doomed.
Je suis toujours manqué de ouf.|I'm still out of luck.
On est très émus tous les deux.|We're both very moved.
Je sais que Florevera, c'est quand même un mec avec beaucoup de valeur.|I know Florevera's still a very valuable guy.
Il sait que je serai là pour lui, comme il sera là pour moi.|He knows I'll be there for him, just like he'll be there for me.
Ce qui me touche, c'est cette vague d'amour.|What affects me is this wave of love.
Cette vague d'amour que j'ai prise en pleine face et je ne m'y attendais vraiment pas.|That wave of love that I took in the face and I really didn't expect.
Ciao, mon gros.|Ciao, big guy.
Ciao, mon frérot.|Ciao, my brother.
Vu l'ambiance et vu mon arrivée, tu me proposes de sortir dans un bar typique Sabouzy ou pas ?|Given the ambiance and my arrival, do you propose to go out to a typical Saubouzy bar or not?
Ce soir, moi, ce que je leur propose, c'est une soirée qui dit Inès dit soirée.|Tonight, what I'm offering them is an evening that says Inès says evening.
Eh, je suis arrivée, les gars.|Hey, I'm here, guys.
On va pas rester à la maison.|We're not staying home.
Ce soir, c'est sortie, baby.|Tonight's out, baby.
On arrive dans ce bar.|We're coming to this bar.
Franchement, grosse ambiance, good vibes, bon son.|Frankly, big atmosphere, good vibes, good sound.
Pendant la soirée, je sens que Lalou, il est distant.|During the evening, I feel that Lalou, he's distant.
Sans raison, comme ça.|No reason, like that.
Clairement qu'il est trop bizarre depuis tout à l'heure.|Clearly, he's been so weird for a while.
Je crois que entre Lalou et Clarisse...|I think between Lalou and Clarisse...
Ouais, c'est très froid.|Yeah, it's very cold.
Ouais.|Yeah.
Je pense que...|I think...
Comment il s'appelle ?|What's his name?
Lalou ?|Lalou?
Ouais.|Yeah.
Elle n'est pas du tout...|She's not at all...
Elle n'accroche pas.|She's not hanging up.
Quand il la regarde, il ne la regarde pas tellement.|When he looks at her, he doesn't look at her so much.
Ça me fait un petit peu jubiler.|It makes me feel a little jubilant.
Parce que je me dis, au final, tu as voulu apprendre à découvrir plus Clarisse alors que tu étais en train de me découvrir moins.|Because I'm thinking, in the end, you wanted to learn to discover more Clarisse when you were discovering me less.
Peut-être que tu vas regretter.|Maybe you'll regret it.
Dans la soirée, c'est vrai que je vois beaucoup Lalou regarder Manon, pas trop calculer Clarisse.|In the evening, it's true that I see a lot of Lalou watching Manon, not overcalculating Clarisse.
En fait, au final, il l'a fait rentrer, mais là, il a perdu Manon pour une meuf qui s'en fout, en fait.|Actually, in the end, he got her in, but then he lost Manon to a girl who doesn't care, actually.
Qu'est-ce que tu veux que je te dise ?|What do you want me to say?
Au moins, même s'il n'est pas avec Manon, il va se rendre compte que Clarisse n'est pas une meuf pour lui.|At least, even if he's not with Manon, he'll realize that Clarisse isn't a chick for him.
C'est vrai que petit à petit, plus les heures passent, plus je me dis, j'ai peut-être été un petit peu trop vite.|It's true that little by little, the more the hours pass, the more I think, maybe I've been a little too fast.
Je me suis peut-être un petit peu précipité.|Maybe I rushed a little bit.
avec Larisse et j'ai l'impression que même quand je viens vers elle, c'est pas forcément naturel, qu'il manque quelque chose, qu'il manque un petit truc.|With Larisse and I feel like even when I come to her, it's not necessarily natural, something's missing, something's missing.
J'ai du mal à me donner totalement dans la relation.|I'm having a hard time giving myself totally into the relationship.
Amène me prend à part pour avoir une petite discussion parce que c'est vrai que depuis qu'on a rentré, on est tout le temps avec tout le monde.|Bringe takes me aside to have a little chat because it's true that since we got home, we've been with everyone all the time.
Ça me fait plaisir.|I'm glad to hear that.
On s'en passe à autre chose.|We're moving on.
On avance.|We're moving on.
Il faut pas que ça soit de bons moments comme ceux-là.|You don't have to be good times like this.
Parce que je voulais vraiment pas que ça s'arrête là.|Because I really didn't want it to end there.
Non mais moi non plus.|No, but neither do I.
J'ai pas envie de m'arrêter à un petit truc comme ça, tu vois ce que je veux dire.|I don't want to stop at a little thing like that, you know what I mean.
Après, comme tu le sais très bien, je suis quelqu'un qui est relou, je le sais, qui est parano sur tous les bords.|Then, as you know very well, I'm someone who's rejuvenated, I know, who's paranoid on all sides.
Mais j'ai besoin d'être raccommodée parce que j'ai rendu compte que je commençais à avoir des sentiments pour toi.|But I need to be recommodated because I realized I was starting to have feelings for you.
