Sentence,Emotion,Translated
"Alright, I got it Ross.",neutral,"Très bien, je l'ai eu Ross."
You had no right to tell me you ever had feelings for me.,sadness,Tu n'avais pas le droit de me dire que tu avais jamais des sentiments pour moi.
What?,sadness,Quoi?
I was doing great with Julie before I found out about you.,anger,Je allais très bien avec Julie avant de vous découvrir.
"Hey, I was doin' great before I found out about you. You think it's easy for me to see you with Julie?",anger,"Hé, je faisais très bien avant de découvrir toi.Tu penses que c'est facile pour moi de te voir avec Julie?"
Then you should have said something before I met her.,anger,"Ensuite, vous auriez dû dire quelque chose avant de la rencontrer."
I didn't know then. And how come you never said anything to me.,anger,Je ne savais pas alors.Et comment se fait-il que vous ne m'ayez jamais rien dit.
There was never a good time.,sadness,Il n'y a jamais eu de bon moment.
"Right, you, you only had a year. We only hung out every night.",sadness,"D'accord, vous, vous n'avez eu qu'un an.Nous n'avons traîné que tous les soirs."
"Not, not, not every night. You know, and... and it's not like I didn't try, Rachel, but things got in the way, y'know? Like, like Italian guys or ex-fiances or, or, or Italian guys.",sadness,"Pas, pas, pas tous les soirs.Vous savez, et ... et ce n'est pas comme si je n'avais pas essayé, Rachel, mais les choses glissaient sur le chemin, tu sais?Comme, comme les italiens ou les ex-aliments ou, ou, ou les italiens."
"Hey, there was one Italian guy, OK, and do you even have a point?",anger,"Hé, il y avait un italien, OK, et avez-vous même un point?"
"The point is I... I don't need this right now, OK. It, it's too late, I'm with somebody else, I'm happy. This ship has sailed.",anger,"Le fait est que je ... Je n'en ai pas besoin pour le moment, ok.Ça, il est trop tard, je suis avec quelqu'un d'autre, je suis heureux.Ce navire a navigué."
"Yeah, what're you saying, you just sort of put away feelings or whatever the hell it was you felt for me?",anger,"Ouais, qu'est-ce que tu dis, tu as juste rangé des sentiments ou quoi que ce soit que tu as ressenti pour moi?"
"Hey, I've been doin' it since the ninth grade, I've gotten pretty damn good at it.",anger,"Hé, je le fais depuis la neuvième année, je suis devenu sacrément bon dans ce domaine."
"Alright, fine, you go ahead and you do that, alright Ross.",anger,"Très bien, très bien, vous allez de l'avant et vous faites ça, d'accord Ross."
Fine.,anger,Bien.
'Cause I don't need your stupid ship.,anger,Parce que je n'ai pas besoin de ton stupide navire.
Good.,anger,Bien.
Good.,anger,Bien.
"And ya know what, now I've got closure.",anger,"Et tu sais quoi, maintenant j'ai la fermeture."
Try the bottom one.,happiness,Essayez celui du bas.
"Monica, it's 6:30 in the morning. We're not working out, it's over.",happiness,"Monica, il est 6h30 du matin.Nous ne travaillons pas, c'est fini."
"No way, with one pound to go, c'mon. We're workin', we're movin', we're in the zone we're groovin'.",happiness,"Pas question, avec une livre à parcourir, allez.Nous travaillons, nous bougeons, nous sommes dans la zone que nous groovin '."
"OK, I don't, I don't mind the last pound. OK, in fact I kind of like the last pound. OK, so don't make me do anything that I'll regret.",anger,"Ok, je ne le fais pas, ça ne me dérange pas la dernière livre.Ok, en fait, j'aime un peu la dernière livre.Ok, alors ne me fais pas faire quoi que ce soit que je regretterai."
"Ooh, what'cha gonna do, fat boy, huh? What?",happiness,"Ooh, que va faire, gros garçon, hein?Quoi?"
"Nothing, except tell you, uh, I think it's wonderful how much energy you have.",happiness,"Rien, sauf vous dire, euh, je pense que c'est merveilleux à quel point vous avez de l'énergie."
"Well, thanks.",happiness,"Eh bien, merci."
"I mean, especially considering how tough it's been for you to find work.",neutral,"Je veux dire, surtout compte tenu de la difficulté de trouver du travail."
"Well, you know.",neutral,"Eh bien, tu sais."
"You know, I mean, you can't tell your parents you were fired because they'd be disappointed.",neutral,"Vous savez, je veux dire, vous ne pouvez pas dire à vos parents que vous avez été viré parce qu'ils seraient déçus."
Uh-huh.,sadness,Uh-huh.
And it's not as if you have a boyfriend's shoulder to cry on.,neutral,Et ce n'est pas comme si vous aviez l'épaule d'un petit ami pour pleurer.
"Well no, but um.",sadness,"Eh bien non, mais euh."
"I mean, if it were me, I think I'd have difficulty just getting out of bed at all.",neutral,"Je veux dire, si c'était moi, je pense que j'aurais du mal à sortir du lit du tout."
"Y'know, I try to stay positive. . .",sadness,"Tu sais, j'essaye de rester positif..."
"So, you feel like goin' for a run?",neutral,"Alors, vous avez envie de partir pour une course?"
Alright.,neutral,Bien.
"Because, you know, you don't have to. If you want, you could just take a nap right here.",neutral,"Parce que, vous savez, vous n'avez pas à le faire.Si vous le souhaitez, vous pouvez simplement faire une sieste ici."
OK. Just for a little while.,neutral,D'ACCORD.Juste pour un petit moment.
OK.,happiness,D'ACCORD.
"Ooh, ooh, ooh, ooh, ooh. Ugly Naked Guy is decorating his tree. Oh my God, you should see the size of his Christmas Balls.",happiness,"Ooh, ooh, ooh, ooh, ooh.Ugly Naked Guy décore son arbre.Oh mon Dieu, tu devrais voir la taille de ses balles de Noël."
Hey.,neutral,Hé.
Hey.,neutral,Hé.
Hey.,neutral,Hé.
"Hey, how much did you guys tip the super this year?",neutral,"Hé, combien avez-vous fait un pourboire le super cette année?"
"Yeah, we were gonna give fifty, but if you guys gave more, we don't wanna look bad.",neutral,"Ouais, nous allions donner cinquante, mais si vous en donniez plus, nous ne voulons pas avoir l'air mal."
"Oh, actually this year we just made him homemade cookies.",neutral,"Oh, en fait cette année, nous venons de lui faire des cookies faits maison."
And twenty-five it is.,happiness,Et vingt-cinq ans.
You gave him cookies?,neutral,Vous lui avez donné des cookies?
"Money is so impersonal. Cookies says someone really cares. . . Alright, we're broke, but cookies do say that.",neutral,"L'argent est tellement impersonnel.Cookies dit que quelqu'un se soucie vraiment...D'accord, nous sommes fauchés, mais les cookies disent cela."
I can see that. A plate of brownies once told me a limerick.,neutral,Je peux voir ça.Une assiette de brownies m'a dit une fois un Limerick.
"Phoebs, let me ask you something, were, were these, uh, funny brownies?",fear,"Phoebs, laissez-moi vous demander quelque chose, était-ce, étaient-ils, euh, des brownies drôles?"
"Not especially. But you know what, I think they had pot in them.",neutral,"Pas surtout.Mais vous savez quoi, je pense qu'ils avaient du pot en eux."
"So you guys, who else did you tip with cookies?",neutral,"Alors vous les gars, qui d'autre avez-vous fait un don avec des cookies?"
"Uhh, the mailman, the super.",neutral,"Euh, le facteur, le super."
"Oh, and the newspaper delivery guy.",happiness,"Oh, et le livreur du journal."
Oh my God.,fear,Oh mon Dieu.
What?,fear,Quoi?
"Uhhh, I don't think you're gonna like this.",fear,"Euhhh, je ne pense pas que tu vas aimer ça."
"Ooh, goooosh, ooh, these are cookies smashed in the sports section.",anger,"Ooh, gooooosh, ooh, ce sont des biscuits brisés dans la section sportive."
"Oh look, and he did my crossword puzzle.",anger,"Oh regardez, et il a fait mon puzzle de mots croisés."
"Yeah, but not very well, unless 14-across, 'Gershwin musical' actually is bitemebitemebitemebiteme.",anger,"Ouais, mais pas très bien, à moins que 14 across, «Gershwin Musical» ne soit en fait BitEmemeMitememeMitemememe."
Esther Livingston. Gone.,neutral,Esther Livingston.Disparu.
"Hi, Phoe.",neutral,"Lui, Poe."
Hi Gram. Whatcha doin'?,happiness,Salut Gram.Qu'est-ce que faire?
"Oh, just updating the phonebook.",neutral,"Oh, il suffit de mettre à jour le répertoire."
"Um, gram, um, can I see the pictures of my dad again?",fear,"Euh, Gram, euh, puis-je revoir les photos de mon père?"
"Oh. Oh, sure, sure, uh, uh, how come?",fear,"Oh.Oh, bien sûr, bien sûr, euh, euh, comment se fait-il?"
"Just, you know, to see... um.",fear,"Juste, vous savez, voir ... euh."
"Oh, sure, yeah. This is the one of you father in a meadow, and, uh, helping a little boy fly a kite, and here he is at a graduation. . . another graduation. . . another graduation.",happiness,"Oh, bien sûr, oui.C'est celui de vous père dans une prairie, et, euh, aidant un petit garçon à piloter un cerf-volant, et il est là à un diplôme...un autre diplôme...un autre diplôme."
"OK, is this really my father?",fear,"Ok, c'est vraiment mon père?"
Is it really your fa--I can't... well of course it is.,fear,Est-ce vraiment votre fa - je ne peux pas ... bien sûr que c'est le cas.
"OK, I smell smoke. Maybe that's 'cause someone's pants are on fire.",anger,"Ok, je sens la fumée.Peut-être que c'est parce que le pantalon de quelqu'un est en feu."
"Look, I. . .",fear,"Regardez, I. ..."
"Ya know, in all the years that we have been grandmother and granddaughter, you have never lied to me.",happiness,"Vous savez, pendant toutes les années où nous avons été grand-mère et petite-fille, vous ne m'avez jamais menti."
"Alright, that is not your father, that's just a picture of a guy in a frame.",sadness,"D'accord, ce n'est pas votre père, c'est juste une photo d'un gars dans un cadre."
Oh God.,sadness,Oh mon Dieu.
"It was your mother's idea. Ya know, she didn't want you to know your real father because it hurt her so much when he left, and, I didn't want to go along with it, but, well then she died and, and it was harder to argue with her. Not impossible, but harder.",sadness,"C'était l'idée de votre mère.Tu sais, elle ne voulait pas que tu connaissais ton vrai père parce que ça lui faisait tellement de mal quand il est parti, et, je ne voulais pas l'accompagner, mais, bien alors elle est morte et, et il était plus difficile de discuter avec elle.Pas impossible, mais plus dur."
"Alright, so, what, he's not a famous tree surgeon? And then, I guess, OK, he doesn't live in a hut in Burma where there's no phones?",anger,"D'accord, alors, quoi, ce n'est pas un célèbre chirurgien d'arbre?Et puis, je suppose, OK, il ne vit pas dans une cabane en Birmanie où il n'y a pas de téléphones?"
"Last I heard, he was a pharmacist somewhere upstate.",neutral,"La dernière fois que j'ai entendu, il était pharmacien quelque part dans le nord."
"OK, that makes no sense. Why would the villagers worship a pharmacist?",sadness,"Ok, cela n'a aucun sens.Pourquoi les villageois adoreraient-ils un pharmacien?"
Honey.,neutral,Honey.
Oh.,sadness,Oh.
"Anyway, that's all I know. That, and this. This is the real him.",sadness,"Quoi qu'il en soit, c'est tout ce que je sais.Ça, et ça.C'est le vrai lui."
Oh.,neutral,Oh.
"Ya know I remember my father, all dressed up in the red suit, the big black boots, and the patent leather belt, sneakin around downstairs. He didn't want anybody to see him but he'd be drunk so he'd stumble, crash into something and wake everybody up.",sadness,"Tu sais que je me souviens de mon père, tous habillés du costume rouge, des grosses bottes noires et de la ceinture en cuir breveté, se faufilant autour du bas.Il ne voulait pas que quelqu'un le voie mais il serait ivre alors il trébucherait, s'écraserait sur quelque chose et réveillerait tout le monde."
"Well, that doesn't sound like a very merry Christmas.",sadness,"Eh bien, cela ne ressemble pas à un très joyeux Noël."
Who said anything about Christmas?,neutral,Qui a dit quelque chose à propos de Noël?
Hi.,neutral,Salut.
"Hey, anyone hear from Phoebe yet?",neutral,"Hé, quelqu'un entend encore Phoebe?"
"No, nothin'.",neutral,"Non, rien."
I hope she's OK.,fear,J'espère qu'elle va bien.
"Yeah, I know exactly what she's goin' through.",happiness,"Ouais, je sais exactement ce qu'elle traverse."
How do you know exactly what she's going through?,sadness,Comment savez-vous exactement ce qu'elle traverse?
She told us.,neutral,Elle nous a dit.
So whaddya got there Monica?,neutral,Alors Whaddya est arrivé monica?
Just some stuff for the party.,neutral,Juste des trucs pour la fête.
"Yeah, what're you guys doin' here, aren't you supposed to be Christmas shopping?",neutral,"Ouais, que faites-vous ici, n'êtes-vous pas censé faire du shopping de Noël?"
"You guys haven't gotten your presents yet? Tomorrow's Christmas Eve, what're ya gonna do?",neutral,"Vous n'avez pas encore obtenu vos cadeaux?La veille de Noël de demain, qu'est-ce que tu vas faire?"
Don't you have to be Claymation to say stuff like that?,happiness,Tu n'as pas besoin d'être argileux pour dire des trucs comme ça?
"Oh, by the way Mon, I don't think the mailman liked your cookies. Here are the ornaments your mom sent.",neutral,"Oh, au fait du lundi, je ne pense pas que le facteur a aimé vos cookies.Voici les ornements que votre mère a envoyés."
"Well, maybe the mailman liked the cookies, we just didn't give him enough.",neutral,"Eh bien, peut-être que le facteur a aimé les cookies, nous ne lui avons tout simplement pas donné assez."
"Monica, pigeons learn faster that you.",happiness,"Monica, les pigeons apprennent plus vite que vous."
"Hey, Rach, you know what? I think, I think I know what'll make you feel better. How 'bout you make a list about me.",happiness,"Hé, Rach, tu sais quoi?Je pense, je pense que je sais ce qui vous fera vous sentir mieux.Que diriez-vous de faire une liste sur moi."
"Wha... forget it Ross, no, I am not gonna stand here and make a list of. . .",anger,"Wha ... Oubliez-le Ross, non, je ne vais pas rester ici et faire une liste de..."
C'mon Rachel.,neutral,C'mon Rachel.
"OK, you're whiney, you are, you're obsessive, you are insecure, you're, you're gutless, you know, you don't ever, you don't just sort of seize the day, you know. You like me for what, a year, you didn't do anything about it. And, uh, oh, you wear too much of that gel in your hair.",anger,"Ok, tu es pleurnichard, tu es, tu es obsessionnel, tu n'es pas en sécurité, tu es, tu es sans courage, tu sais, tu n'as jamais, tu ne sais pas seulement la journée, tu sais.Tu m'aimes pour quoi, un an, tu n'as rien fait à ce sujet.Et, euh, oh, vous portez trop de ce gel dans vos cheveux."
"See there, you uhh, alright, ya, you did what I said.",fear,"Voir là, toi euh, d'accord, toi, tu as fait ce que j'ai dit."
"Yeah, and you know what? You're right, I do feel better, thank you Ross.",happiness,"Ouais, et tu sais quoi?Tu as raison, je me sens mieux, merci Ross."
"Yeah, um, in Albany, can I have the number of Frank Buffay. . . OK, um, in Ithica. . . alright, um, Saratoga. . . Oneonta. Alright, you know what, you shouldn't call youself information.",fear,"Ouais, euh, à Albany, puis-je avoir le nombre de Frank Buffay...Ok, euh, à Ithaca...Très bien, euh, Saratoga...Oneonta.D'accord, vous savez quoi, vous ne devriez pas vous appeler des informations."
Hey.,neutral,Hé.
"Hello grandma, if that is in fact your real name.",neutral,"Bonjour grand-mère, si c'est en fait votre vrai nom."
"C'mon now Phoe, don't still be mad at me. How's it going?",happiness,"Allez maintenant Phoe, je ne suis toujours pas en colère contre moi.Comment ça va?"
"Well, not so good. Upstate's pretty big, he's pretty small, you do the math.",neutral,"Eh bien, pas si bon.Upstate est assez grand, il est assez petit, vous faites le calcul."
"Well, I think you're better off without him. Oh honey, I know he's your daddy but, but to me he's still the irresponsible creep who knocked up your mom and stole her Gremlin.",fear,"Eh bien, je pense que tu es mieux sans lui.Oh chérie, je sais qu'il est ton papa mais, mais pour moi, il est toujours le fluage irresponsable qui a renversé ta maman et a volé son gremlin."
"No I just, just wanted to know who he was, ya know.",neutral,"Non, je voulais juste savoir qui il était, tu sais."
"I know. OK, I wasn't completely honest with you when I told you that, uh, I didn't know exactly where he lived.",sadness,"Je sais.Ok, je n'étais pas complètement honnête avec toi quand je t'ai dit ça, euh, je ne savais pas exactement où il vivait."
Whattaya mean?,fear,Que signifie signifier?
"He lives at 74 Laurel Drive in Middletown. If you hit the Dairy Queen, you've gone too far. You can take my cab.",happiness,"Il vit au 74 Laurel Drive à Middletown.Si vous frappez la Dairy Queen, vous êtes allé trop loin.Vous pouvez prendre mon taxi."
Wow. Thank you.,happiness,Ouah.Merci.
"Now, remember, nobody else drives that cab.",neutral,"Maintenant, rappelez-vous, personne d'autre ne conduit ce taxi."
"Uh-huh, got it. Ooh, I'm gonna see my dad. Wish me luck, Grandpa! Commercial",happiness,"Uh-huh, je l'ai.Ooh, je vais voir mon père.Souhaitez-moi bonne chance, grand-père!Commercial"
Phoebe here with the cab yet?,neutral,Phoebe ici avec le taxi?
"Yeah, she, she brought the invisible cab. . . hop in.",anger,"Ouais, elle, elle a apporté le taxi invisible...sauter."
"Well she better get here soon, the outlet stores close at 7.",fear,"Eh bien, elle ferait mieux de arriver ici bientôt, les magasins de points de vente se terminent à 7 ans."
"Hey, don't worry. I figure it'll be 2 hours to Phoebe's dad's house, they'll meet, they'll chat, they'll swap life stories, we'll still have plenty of time.",fear,"Hé, ne t'inquiète pas.Je pense que ce sera 2 heures chez le père de Phoebe, ils se rencontreront, ils discuteront, ils échangeront des histoires de vie, nous aurons encore beaucoup de temps."
"Hey, here she comes.",happiness,"Hé, voici, elle vient."
Hey.,neutral,Hé.
Hey.,neutral,Hé.
Hey.,neutral,Hé.
Hey.,neutral,Hé.
"Can you believe this. In, like, two hours I'm gonna have a dad. Eeeshk.",happiness,"Pouvez-vous croire cela.Dans, comme deux heures, je vais avoir un père.Eeeshk."
Eeeshk.,happiness,Eeeshk.
"Yeah, big stuff.",happiness,"Ouais, gros trucs."
"OK, let's go.",neutral,"Ok, allons-y."
OK.,neutral,D'ACCORD.
"Alright, here, you have to hold this.",happiness,"D'accord, ici, vous devez tenir cela."
"OK. Brake left, gas right?",fear,"D'ACCORD.Frein à gauche, gaz à droite?"
"Uh-huh, yeah, that's my cheat sheet.",happiness,"Uh-huh, oui, c'est ma feuille de triche."
Where's my seat belt?,fear,Où est ma ceinture de sécurité?
"Oh, no no, that side doesn't have one, the paramedics had to cut through it.",happiness,"Oh, non non, ce côté n'en a pas, les ambulanciers paramédicaux ont dû le couper."
Hey!,fear,Hé!
Hey.,fear,Hé.
"C'mon, just tell me, please, please.",fear,"Allez, dites-moi, s'il vous plaît, s'il vous plaît."
"For the sixteenth time, no... I do not think you're obsessive.",anger,"Pour la seizième fois, non ... Je ne pense pas que vous soyez obsédé."
"Oh, gosh, it's hot in here.",anger,"Oh, mon Dieu, il fait chaud ici."
"Rach, get the heat. Ross, could you turn the heat down please?",happiness,"Rach, obtenez la chaleur.Ross, pourriez-vous refuser la chaleur s'il vous plaît?"
"Sure. By the way, there's a difference between being obsessive and. . .",neutral,"Bien sûr.Soit dit en passant, il y a une différence entre être obsessionnel et..."
"Ross, the heat!",anger,"Ross, la chaleur!"
"Fine, OK! Heat, heat, heat, and I'm the obsessive one. OK, this way is on, so this is. . . off.",fear,"Très bien, ok!Chauffer, chauffer, chauffer et je suis obsessionnel.Ok, cette façon est allumée, donc c'est le cas...désactivé."
Did you just break the radiator?,anger,Vous venez de casser le radiateur?
"No, no, I was turnin' the knob and, and. . . here it is.",fear,"Non, non, je tournais le bouton et et...C'est ici."
Well put it back.,anger,Bien remettre.
"It uhh, it won't go back.",fear,"Ça euh, ça ne reviendra pas."
I'll call the super.,anger,J'appellerai le super.
"Here, let me try.",happiness,"Ici, laissez-moi essayer."
"Oh, oh that's right, I forgot about your ability to fuse metal.",happiness,"Oh, oh c'est vrai, j'ai oublié votre capacité à fusionner le métal."
"Hey, it's Funny's cousin, Not Funny.",anger,"Hé, c'est le cousin de drôle, pas drôle."
"Hi, Mr. Treeger. Hi, it's Rachel Green from upstairs. Yes, somebody, uh, broke our knob on the radiator and it's really hot in here. Yes, it's, it's hot enough to bake cookies. Well, do you think we could have a new one by 6? Wha t, no, no, Tuesday, we can't wait until Tuesday, we're having a party tonight.",fear,"Salut, M. Treeger.Salut, c'est Rachel Green de l'étage.Oui, quelqu'un, euh, s'est cassé le bouton sur le radiateur et il fait vraiment chaud ici.Oui, c'est, il fait assez chaud pour faire des biscuits.Eh bien, pensez-vous que nous pourrions en avoir un nouveau par 6?Ce qui est, non, non, mardi, nous avons hâte de mardi, nous organisons une fête ce soir."
"OK, tip the man.",neutral,"Ok, pour donner un pourboire à l'homme."
"No, if he doesn't like our cookies, too bad, I am not gonna be blackmailed. Look if worse comes to worse, it gets a little warm, we'll call it a theme party.",sadness,"Non, s'il n'aime pas nos cookies, trop mal, je ne serai pas le chantage.Regardez si pire en pire, il devient un peu chaud, nous l'appellerons une fête à thème."
"Hey, here's a theme: Come on in, live like bacon.",happiness,"Hé, voici un thème: Allez, vivez comme du bacon."
"Ooh, this is it, 74.",happiness,"Ooh, c'est ça, 74."
"Oh, so that's what this is for.",neutral,"Oh, c'est donc à cela que sert."
"Wow, this is it, I'm gonna meet my dad. This is like the biggest thing ever, huh.",happiness,"Wow, c'est ça, je vais rencontrer mon père.C'est comme la plus grande chose de tous les temps, hein."
Yeah.,neutral,Ouais.
Sure is.,neutral,Bien sûr.
"OK, here I go. I'm goin' in.",fear,"Ok, c'est parti.Je vais."
Alright.,neutral,Bien.
Good luck Phoebs.,neutral,Bonne chance Phoebs.
"OK, here I go. . . here I go. . . I'm goin'.",fear,"Ok, c'est parti...C'est parti...Je vais."
OK.,neutral,D'ACCORD.
How far'd ya get?,happiness,À quel point vous êtes-vous éloigné?
Mailbox.,neutral,Boîte aux lettres.
"Alright, we're gettin' closer.",happiness,"D'accord, nous nous rapprochons."
Uh-huh.,neutral,Uh-huh.
"Phoebs, what's goin' on?",happiness,"Phoebs, qu'est-ce qui va?"
"No, it's just like, ya know, it's a whole mess of stuff, ya know. It's like, yesterday, ya know, my dad was this, like, famous Burma tree surgeon guy and, ya know, now he's a, a pharmacist guy and. . .",fear,"Non, c'est comme, tu sais, c'est tout un gâchis de choses, tu sais.C'est comme, hier, tu sais, mon père était ceci, comme, le célèbre chirurgien arbre birmane et, tu sais, maintenant c'est un, un pharmacien et..."
"Well, maybe he's, maybe he's this really cool pharmacist guy.",happiness,"Eh bien, peut-être qu'il est, peut-être qu'il est ce pharmacien vraiment cool."
"Yeah, maybe, yeah. You know, and, and I'll knock on the door and, and he'll hug me and I'll have a dad. Ya know and I'll, I'll go to his pharmacy and everyone will be really nice to me 'cause, you know, I'm Franks daughter.",happiness,"Ouais, peut-être, ouais.Vous savez, et je vais frapper à la porte et, et il me serrera dans ses bras et j'aurai un père.Tu sais et je vais, je vais aller dans sa pharmacie et tout le monde sera vraiment gentil avec moi parce que tu sais, je suis Franks Dille."
"Well, so why not go knock?",happiness,"Eh bien, alors pourquoi ne pas aller frapper?"
"Well, 'cause, I mean, what if, what if he's not this great dad guy? I mean, what if, what if he's just still the dirtbag who ran out on my mom and us? You know what? I've already lost a fake dad this week and I don't think I'm ready to lose a real one.",fear,"Eh bien, parce que je veux dire, et si, s'il n'était pas ce grand papa?Je veux dire, que se passe-t-il si, s'il était encore le sac à terre qui a couru sur ma mère et nous?Vous savez quoi?J'ai déjà perdu un faux papa cette semaine et je ne pense pas que je suis prêt à perdre un vrai."
"Phoebs, that's OK. You took a big step today.",happiness,"Phoebs, ça va.Vous avez fait un grand pas aujourd'hui."
Yeah?,neutral,Ouais?
"Yeah, and someday when you're ready, you'll make it past the hedges.",happiness,"Oui, et un jour, quand vous serez prêt, vous passerez au-delà des haies."
"Yeah, and when you do, he'll be lucky to have you.",happiness,"Ouais, et quand tu le feras, il aura la chance de t'avoir."
You guys. I'm sorry about your shopping.,sadness,Vous les gars.Je suis désolé pour vos achats.
"Oh, that's OK, we'll figure something out.",happiness,"Oh, ça va, nous allons comprendre quelque chose."
"Uh, listen Phoebs, I know you're not goin' in there but do you think it'd be alright if I went in and used his bathroom? Oh, that's fine, never mind. Cool, snow, kinda like a blank canvas.",neutral,"Euh, écoute Phoebs, je sais que tu n'es pas y aller mais pensez-vous que ça irait si je suis allé et j'ai utilisé sa salle de bain?Oh, c'est bien, tant pis.Cool, neige, un peu comme une toile vierge."
"Ho, ho, ho, holy crap is it hot in here!",fear,"Ho, ho, ho, saint merde est-il chaud ici!"
"Really, hey, you mind if I turn the heat down?",happiness,"Vraiment, hé, cela vous dérange si je refuse la chaleur?"
"Hey, we could have used that kind of thinkin' earlier.",sadness,"Hé, nous aurions pu utiliser ce genre de réflexion plus tôt."
"Hey, Phoebs, how'd it go.",happiness,"Hé, Phoebs, comment ça s'est passé."
"Oh, I couldn't go in.",sadness,"Oh, je ne pouvais pas entrer."
"Honey, I'm sorry.",happiness,"Chérie, je suis désolé."
Are you OK?,sadness,Êtes-vous ok?
"Yeah, yeah, no it's OK 'cause, I mean, I know he's there, so, that's enough for now.",happiness,"Ouais, ouais, non ça va parce que je veux dire, je sais qu'il est là, donc c'est suffisant pour le moment."
"Hey, guys, it's after midnight, merry Christmas everyone.",happiness,"Hé, les gars, c'est après minuit, joyeux Noël à tous."
"Hey, Monica, the knob was broken so I just turned it off from underneath, I hope that's alright.",happiness,"Hé, Monica, le bouton était cassé alors je l'ai juste éteint en dessous, j'espère que ça va."
"Rach, these are for you.",neutral,"Rach, ce sont pour vous."
Wiper blades. I don't even have a car.,fear,Pares d'essuie-glace.Je n'ai même pas de voiture.
"No, but with this new car smell, you'll think you do.",happiness,"Non, mais avec cette nouvelle odeur de voiture, vous penserez que vous le faites."
"OK, Phoebs, your turn.",neutral,"Ok, Phoebs, à votre tour."
"Ahh, toilet seat covers! Is that what you were doing while I was getting gas?",fear,"Ahh, couvercles de siège de toilette!Est-ce ce que vous faisiez pendant que j'obtenais du gaz?"
Uh-huh.,happiness,Uh-huh.
You guuuyys.,sadness,Vous les gars.
"And for Ross, Mr. Sweet-tooth.",neutral,"Et pour Ross, M. Sweet-Tooth."
You got me a cola drink?,fear,Tu m'as eu une boisson cola?
"And, a lemon lime.",neutral,"Et, un citron vert."
"Well this, this is too much, I feel like I should get you another sweater.",anger,"Eh bien, c'est trop, j'ai l'impression que je devrais vous avoir un autre pull."
And last but not least.,happiness,Et enfin mais non le moindre.
They're ribbed for your pleasure.,happiness,Ils sont côtelées pour votre plaisir.
"Ok. Here's his diaper bag, and his uh, Mr. Winky, and uh...oh, him. Hi!",neutral,"D'accord.Voici son sac à couches, et son euh, M. Winky, et euh ... oh, lui.Salut!"
So how did everything go?,neutral,"Alors, comment tout s'est passé?"
"Oh, great. Great. There was a projectile, uh, throwing up incident, but he started it.",happiness,"Oh, super.Super.Il y avait un projectile, euh, qui vomit un incident, mais il l'a commencé."
"Well, we've gotta go.",happiness,"Eh bien, nous devons y aller."
Ok.,neutral,D'accord.
"Oh, right. Um, I've got some news. It's about us.",neutral,"Oh, c'est vrai.Euh, j'ai des nouvelles.C'est à propos de nous."
"Oh, you and me?",fear,"Oh, toi et moi?"
"Uh, no, Susan and me.",neutral,"Euh, non, Susan et moi."
The other us.,neutral,L'autre nous.
Ok.,neutral,D'accord.
"We're uh, we're getting married.",neutral,"Nous sommes euh, nous nous marions."
"As in, ""I now pronounce you wife and wife"" married?",fear,"Comme dans ""Je prononce maintenant votre femme et votre femme"" mariées?"
"Anyway, we'd like you to come, but we totally understand if you don't want to.",neutral,"Quoi qu'il en soit, nous aimerions que vous veniez, mais nous comprenons totalement si vous ne le souhaitez pas."
Why wouldn't I want to come? I had fun at the first wedding.,fear,Pourquoi ne voudrais-je pas venir?Je me suis amusé au premier mariage.
Look I just thought that...,neutral,Regarde je pensais juste que ...
"No no no, I mean, hey, why shouldn't I be happy for you? What would it say about me if I couldn't revel in your joy? I'm revelling baby, believe me!",neutral,"Non non non, je veux dire, hé, pourquoi ne devrais-je pas être heureux pour toi?Que dirait-il de moi si je ne pouvais pas me délecter de ta joie?Je me délecte bébé, croyez-moi!"
Is your finger caught in that chair?,anger,Votre doigt est-il pris sur cette chaise?
Mmm hmmm.,neutral,Mmm hmmm.
Want us to go?,neutral,Vous voulez que nous y allions?
Uh-huh.,neutral,Uh-huh.
That is so good! Do it again!,happiness,C'est tellement bon!REFORMEZ!
"All right, all right. ""Damnit Braverman, it's right there on the chart!""",happiness,"Très bien, d'accord.""Damnit Braverman, c'est juste là sur le tableau!"""
"That's great. All right, I gotta get to work, I got a big dinosaur bone to inspect.",happiness,"C'est super.Très bien, je dois me rendre au travail, j'ai un gros os de dinosaure à inspecter."
"No no, that's me.",neutral,"Non non, c'est moi."
"Oh, yeah.",neutral,Oh ouais.
"Oh, hello.",happiness,"Oh, bonjour."
"Oh, thanks. I couldn't uh...",happiness,"Oh, merci.Je ne pouvais pas toi ..."
Is everything ok?,fear,Est-ce que tout va bien?
"Um, no, huh-uh. One of my clients died on the massage table today.",sadness,"Um, non, huh-uh.Un de mes clients est décédé sur la table de massage aujourd'hui."
Oh my god.,fear,Oh mon Dieu.
That's a little more relaxed than you want them to get.,happiness,C'est un peu plus détendu que vous ne le souhaitez.
"Yeah, um, she was 82 years old. Her name was um, Mrs. Adelman.",sadness,"Ouais, euh, elle avait 82 ans.Son nom était euh, Mme Adelman."
"Oh, honey.",happiness,"Oh, chérie."
